event_definition,coding_system,code,code_name,concept,concept_name,tags,system,event_abbreviation,type,code_original
end_of_pregnancy,ICD10CM,P03.4,,C0158843,Fetal or neonatal effect of cesarean section,,,,,P03.4
end_of_pregnancy,ICD10CM,P03.5,,C0158845,Fetal or neonatal effect of precipitate delivery,,,,,P03.5
end_of_pregnancy,ICD10CM,P03.6,,C0158846,Fetus or neonate affected by abnormal uterine contractions,,,,,P03.6
end_of_pregnancy,ICD10CM,P08.0,,C0158915,Exceptionally large baby (disorder),,,,,P08.0
end_of_pregnancy,ICD10CM,P08.2,,C0158917,"Post-term infant, not heavy-for-dates",,,,,P08.2
end_of_pregnancy,ICD10CM,P21.0,,C0158931,"Severe birth asphyxia, APGAR 0-3",,,,,P21.0
end_of_pregnancy,ICD10CM,P28.1,,C0158939,Other and unspecified atelectasis of newborn,,,,,P28.1
end_of_pregnancy,ICD10CM,P22.1,,C0158940,Transitory tachypnea of newborn,,,,,P22.1
end_of_pregnancy,ICD10CM,P38,,C0158947,Omphalitis of the newborn,,,,,P38
end_of_pregnancy,ICD10CM,P39.0,,C0158948,Neonatal infective mastitis,,,,,P39.0
end_of_pregnancy,ICD10CM,P39,,C0158950,Other infections specific to the perinatal period,,,,,P39
end_of_pregnancy,ICD10CM,P50,,C0158951,Fetal blood loss,,,,,P50
end_of_pregnancy,ICD10CM,P55.0,,C0158962,Hemolytic disease of fetus OR newborn due to RhD isoimmunization,,,,,P55.0
end_of_pregnancy,ICD10CM,P59.0,,C0158971,Neonatal jaundice associated with preterm delivery,,,,,P59.0
end_of_pregnancy,ICD10CM,P59,,C0158977,Perinatal jaundice from other causes,,,,,P59
end_of_pregnancy,ICD10CM,P70.2,,C0158981,Neonatal diabetes mellitus,,,,,P70.2
end_of_pregnancy,ICD10CM,P72.1,,C0158983,Neonatal thyrotoxicosis,,,,,P72.1
end_of_pregnancy,ICD10CM,P74.0,,C0158987,Late metabolic acidosis of newborn,,,,,P74.0
end_of_pregnancy,ICD10CM,P61.0,,C0158991,Transient Neonatal Thrombocytopenia,,,,,P61.0
end_of_pregnancy,ICD10CM,P60,,C0158992,Disseminated intravascular coagulation in newborn,,,,,P60
end_of_pregnancy,ICD10CM,P61.6,,C0158993,Other transient neonatal disorders of coagulation,,,,,P61.6
end_of_pregnancy,ICD10CM,P61.2,,C0158996,Anemia of prematurity,,,,,P61.2
end_of_pregnancy,ICD10CM,P61.5,,C0158997,Transient neonatal neutropenia (disorder),,,,,P61.5
end_of_pregnancy,ICD10CM,P78.9,,C0159000,Disorder of digestive system specific to fetus OR newborn,,,,,P78.9
end_of_pregnancy,ICD10CM,P76.1,,C0159004,Transitory ileus of newborn,,,,,P76.1
end_of_pregnancy,ICD10CM,P78.0,,C0159006,Perinatal intestinal perforation,,,,,P78.0
end_of_pregnancy,ICD10CM,P78.8,,C0159007,Other specified perinatal digestive system disorders,,,,,P78.8
end_of_pregnancy,ICD10CM,P83,,C0159009,Conditions involving the integument and temperature regulation of fetus and newborn,,,,,"P80,P81,P82,P83"
end_of_pregnancy,ICD10CM,P80,,C0159009,Conditions involving the integument and temperature regulation of fetus and newborn,,,,,"P80,P81,P82,P83"
end_of_pregnancy,ICD10CM,P81,,C0159009,Conditions involving the integument and temperature regulation of fetus and newborn,,,,,"P80,P81,P82,P83"
end_of_pregnancy,ICD10CM,P82,,C0159009,Conditions involving the integument and temperature regulation of fetus and newborn,,,,,"P80,P81,P82,P83"
end_of_pregnancy,ICD10CM,P80.0,,C0159011,Cold injury syndrome of newborn,,,,,P80.0
end_of_pregnancy,ICD10CM,P80.8,,C0159012,Other hypothermia of newborn,,,,,P80.8
end_of_pregnancy,ICD10CM,P81,,C0159013,Other newborn temperature regulation disorders,,,,,P81
end_of_pregnancy,ICD10CM,P90,,C0159020,Convulsions in the newborn,,,,,P90
end_of_pregnancy,ICD10CM,P92,,C0159023,Feeding problems in newborn,,,,,P92
end_of_pregnancy,ICD10CM,P96.8,,C0159027,Other specified conditions originating in the perinatal period,,,,,P96.8
end_of_pregnancy,ICD10CM,O90.9,,C0161972,Complication of the puerperium,,,,,O90.9
end_of_pregnancy,ICD10CM,N85.5,,C0162482,Uterine Inversion,,,,,N85.5
end_of_pregnancy,ICD10CM,O72.1,,C0220887,"Other immediate postpartum hemorrhage, postpartum",,,,,O72.1
end_of_pregnancy,ICD10CM,P28.81,,C0235065,Neonatal respiratory arrest,,,,,P28.81
end_of_pregnancy,ICD10CM,P39.3,,C0235815,Neonatal urinary tract infection,,,,,P39.3
end_of_pregnancy,ICD10CM,Z39,,C0260561,Postpartum care and examination,,,,,Z39
end_of_pregnancy,ICD10CM,Z39.2,,C0260564,Routine postpartum follow-up,,,,,Z39.2
end_of_pregnancy,ICD10CM,O46.9,,C0269608,Antepartum hemorrhage,,,,,O46.9
end_of_pregnancy,ICD10CM,O61.1,,C0269807,Failed mechanical induction,,,,,O61.1
end_of_pregnancy,ICD10CM,O63,,C0269815,Complications of labour and delivery,,,,,"O60,O61,O62,O63,O64,O65,O66,O67,O68,O69,O70,O71,O72,O73,O74,O75,O76,O77"
end_of_pregnancy,ICD10CM,O64,,C0269815,Complications of labour and delivery,,,,,"O60,O61,O62,O63,O64,O65,O66,O67,O68,O69,O70,O71,O72,O73,O74,O75,O76,O77"
end_of_pregnancy,ICD10CM,O65,,C0269815,Complications of labour and delivery,,,,,"O60,O61,O62,O63,O64,O65,O66,O67,O68,O69,O70,O71,O72,O73,O74,O75,O76,O77"
end_of_pregnancy,ICD10CM,O66,,C0269815,Complications of labour and delivery,,,,,"O60,O61,O62,O63,O64,O65,O66,O67,O68,O69,O70,O71,O72,O73,O74,O75,O76,O77"
end_of_pregnancy,ICD10CM,O67,,C0269815,Complications of labour and delivery,,,,,"O60,O61,O62,O63,O64,O65,O66,O67,O68,O69,O70,O71,O72,O73,O74,O75,O76,O77"
end_of_pregnancy,ICD10CM,O68,,C0269815,Complications of labour and delivery,,,,,"O60,O61,O62,O63,O64,O65,O66,O67,O68,O69,O70,O71,O72,O73,O74,O75,O76,O77"
end_of_pregnancy,ICD10CM,O69,,C0269815,Complications of labour and delivery,,,,,"O60,O61,O62,O63,O64,O65,O66,O67,O68,O69,O70,O71,O72,O73,O74,O75,O76,O77"
end_of_pregnancy,ICD10CM,O70,,C0269815,Complications of labour and delivery,,,,,"O60,O61,O62,O63,O64,O65,O66,O67,O68,O69,O70,O71,O72,O73,O74,O75,O76,O77"
end_of_pregnancy,ICD10CM,O71,,C0269815,Complications of labour and delivery,,,,,"O60,O61,O62,O63,O64,O65,O66,O67,O68,O69,O70,O71,O72,O73,O74,O75,O76,O77"
end_of_pregnancy,ICD10CM,O72,,C0269815,Complications of labour and delivery,,,,,"O60,O61,O62,O63,O64,O65,O66,O67,O68,O69,O70,O71,O72,O73,O74,O75,O76,O77"
end_of_pregnancy,ICD10CM,O60,,C0269815,Complications of labour and delivery,,,,,"O60,O61,O62,O63,O64,O65,O66,O67,O68,O69,O70,O71,O72,O73,O74,O75,O76,O77"
end_of_pregnancy,ICD10CM,O61,,C0269815,Complications of labour and delivery,,,,,"O60,O61,O62,O63,O64,O65,O66,O67,O68,O69,O70,O71,O72,O73,O74,O75,O76,O77"
end_of_pregnancy,ICD10CM,O62,,C0269815,Complications of labour and delivery,,,,,"O60,O61,O62,O63,O64,O65,O66,O67,O68,O69,O70,O71,O72,O73,O74,O75,O76,O77"
end_of_pregnancy,ICD10CM,O76,,C0269815,Complications of labour and delivery,,,,,"O60,O61,O62,O63,O64,O65,O66,O67,O68,O69,O70,O71,O72,O73,O74,O75,O76,O77"
end_of_pregnancy,ICD10CM,O77,,C0269815,Complications of labour and delivery,,,,,"O60,O61,O62,O63,O64,O65,O66,O67,O68,O69,O70,O71,O72,O73,O74,O75,O76,O77"
end_of_pregnancy,ICD10CM,O73,,C0269815,Complications of labour and delivery,,,,,"O60,O61,O62,O63,O64,O65,O66,O67,O68,O69,O70,O71,O72,O73,O74,O75,O76,O77"
end_of_pregnancy,ICD10CM,O74,,C0269815,Complications of labour and delivery,,,,,"O60,O61,O62,O63,O64,O65,O66,O67,O68,O69,O70,O71,O72,O73,O74,O75,O76,O77"
end_of_pregnancy,ICD10CM,O75,,C0269815,Complications of labour and delivery,,,,,"O60,O61,O62,O63,O64,O65,O66,O67,O68,O69,O70,O71,O72,O73,O74,O75,O76,O77"
end_of_pregnancy,ICD10CM,O66.0,,C0269825,Shoulder girdle dystocia,,,,,O66.0
end_of_pregnancy,ICD10CM,O71.9,,C0269858,Traumatic lesion during delivery,,,,,O71.9
end_of_pregnancy,ICD10CM,O70,,C0269859,Obstetrical laceration,,,,,O70
end_of_pregnancy,ICD10CM,O70.0,,C0269863,First-degree perineal laceration during delivery,,,,,O70.0
end_of_pregnancy,ICD10CM,O70.1,,C0269870,Second degree perineal laceration,,,,,O70.1
end_of_pregnancy,ICD10CM,O70.2,,C0269874,Third degree perineal laceration,,,,,O70.2
end_of_pregnancy,ICD10CM,O71.6,,C0269891,Damage to pelvic joints AND/OR ligaments during delivery,,,,,O71.6
end_of_pregnancy,ICD10CM,O71.7,,C0269895,Pelvic hematoma during delivery,,,,,O71.7
end_of_pregnancy,ICD10CM,O72.0,,C0269898,Third stage hemorrhage,,,,,O72.0
end_of_pregnancy,ICD10CM,O73.0,,C0269905,"Retained placenta, without hemorrhage",,,,,O73.0
end_of_pregnancy,ICD10CM,O85,,C0269936,Puerperal sepsis,,,,,O85
end_of_pregnancy,ICD10CM,O91.0,,C0269979,"Infection of nipple, associated with childbirth",,,,,O91.0
end_of_pregnancy,ICD10CM,O91.1,,C0269981,"Abscess of breast, associated with childbirth",,,,,O91.1
end_of_pregnancy,ICD10CM,O92.5,,C0269993,Suppressed lactation,,,,,O92.5
end_of_pregnancy,ICD10CM,O92.6,,C0269995,Galactorrhea associated with childbirth,,,,,O92.6
end_of_pregnancy,ICD10CM,P03.8,,C0270067,Fetus and newborn affected by other specified complications of labour and delivery,,,,,P03.8
end_of_pregnancy,ICD10CM,P96.9,,C0270075,Perinatal disorder,,,,,P96.9
end_of_pregnancy,ICD10CM,P07.2,,C0270078,Extreme immaturity,,,,,P07.2
end_of_pregnancy,ICD10CM,P12,,C0270089,Birth injury to scalp,,,,,P12
end_of_pregnancy,ICD10CM,P13.4,,C0270094,Fracture of clavicle due to birth trauma,,,,,P13.4
end_of_pregnancy,ICD10CM,P11.3,,C0270103,Facial nerve injury as birth trauma,,,,,P11.3
end_of_pregnancy,ICD10CM,P28.2,,C0270148,Perinatal cyanotic attacks,,,,,P28.2
end_of_pregnancy,ICD10CM,P28.0,,C0270163,"Primary atelectasis, in perinatal period",,,,,P28.0
end_of_pregnancy,ICD10CM,P54.9,,C0270183,Hemorrhage of newborn,,,,,P54.9
end_of_pregnancy,ICD10CM,P55.1,,C0270202,Hemolytic disease of fetus OR newborn due to ABO immunization,,,,,P55.1
end_of_pregnancy,ICD10CM,P57.0,,C0270204,Kernicterus due to isoimmunization,,,,,P57.0
end_of_pregnancy,ICD10CM,P76.0,,C0270246,Meconium plug syndrome,,,,,P76.0
end_of_pregnancy,ICD10CM,P78.2,,C0270249,Hematemesis AND/OR melena due to swallowed maternal blood,,,,,P78.2
end_of_pregnancy,ICD10CM,P61.1,,C0272153,Neonatal polycythemia,,,,,P61.1
end_of_pregnancy,ICD10CM,O98.2,,C0275667,"Gonorrhea in mother complicating pregnancy, childbirth AND/OR puerperium",,,,,O98.2
end_of_pregnancy,ICD10CM,O98.1,,C0275820,"Syphilis in mother complicating pregnancy, childbirth AND/OR puerperium",,,,,O98.1
end_of_pregnancy,ICD10CM,P37.5,,C0276682,Neonatal candidiasis,,,,,P37.5
end_of_pregnancy,ICD10CM,O71.1,,C0302537,Rupture of uterus during labour,,,,,O71.1
end_of_pregnancy,ICD10CM,O24,,C0341893,"Diabetes mellitus in mother complicating pregnancy, childbirth AND/OR puerperium",,,,,O24
end_of_pregnancy,ICD10CM,O14.1,,C0341950,Severe pre-eclampsia,,,,,O14.1
end_of_pregnancy,ICD10CM,O87.1,,C0342039,Postpartum deep phlebothrombosis,,,,,O87.1
end_of_pregnancy,ICD10CM,O22.0,,C0342068,Varicose veins of legs complicating pregnancy AND/OR puerperium,,,,,O22.0
end_of_pregnancy,ICD10CM,A33,,C0343312,Tetanus neonatorum,,,,,A33
end_of_pregnancy,ICD10CM,P76.2,,C0400853,Intestinal obstruction by inspissated milk in newborn,,,,,P76.2
end_of_pregnancy,ICD10CM,O62.1,,C0405169,Secondary uterine inertia,,,,,O62.1
end_of_pregnancy,ICD10CM,P11.5,,C0411063,Spine or spinal cord injury due to birth trauma,,,,,P11.5
end_of_pregnancy,ICD10CM,P01.1,,C0411160,Fetus or neonate affected by maternal premature rupture of membrane,,,,,P01.1
end_of_pregnancy,ICD10CM,P01.4,,C0411164,Fetus or neonate affected by ectopic pregnancy,,,,,P01.4
end_of_pregnancy,ICD10CM,P01.5,,C0411169,Fetus or neonate affected by multiple pregnancy,,,,,P01.5
end_of_pregnancy,ICD10CM,P00.9,,C0411175,Fetal or neonatal effect of maternal medical problem,,,,,P00.9
end_of_pregnancy,ICD10CM,Z37.4,,C0419377,"Encounter due to birth of twins, both stillborn",,,,,Z37.4
end_of_pregnancy,ICD10CM,P56.0,,C0455990,Immune Hydrops Fetalis,,,,,P56.0
end_of_pregnancy,ICD10CM,P27,,C0456017,Chronic respiratory disease in perinatal period,,,,,P27
end_of_pregnancy,ICD10CM,P21.1,,C0456089,Mild to moderate birth asphyxia (disorder),,,,,P21.1
end_of_pregnancy,ICD10CM,O62,,C0473462,Abnormality of forces of labor,,,,,O62
end_of_pregnancy,ICD10CM,O62.3,,C0473472,Precipitate labor,,,,,O62.3
end_of_pregnancy,ICD10CM,O72.2,,C0473508,Delayed Postpartum Hemorrhage,,,,,O72.2
end_of_pregnancy,ICD10CM,P51,,C0473789,Umbilical hemorrhage after birth,,,,,P51
end_of_pregnancy,ICD10CM,P26,,C0475713,Perinatal pulmonary hemorrhage,,,,,P26
end_of_pregnancy,ICD10CM,O62.2,,C0477838,Other uterine inertia,,,,,O62.2
end_of_pregnancy,ICD10CM,O87.8,,C0477869,Other venous complications in the puerperium,,,,,O87.8
end_of_pregnancy,ICD10CM,O98.5,,C0477876,"Other viral diseases complicating pregnancy, childbirth and the puerperium",,,,,O98.5
end_of_pregnancy,ICD10CM,P02.2,,C0477887,Fetus and newborn affected by other and unspecified morphological and functional abnormalities of placenta,,,,,P02.2
end_of_pregnancy,ICD10CM,P02.5,,C0477888,Fetus and newborn affected by other compression of umbilical cord,,,,,P02.5
end_of_pregnancy,ICD10CM,P02.6,,C0477889,Fetus and newborn affected by other and unspecified conditions of umbilical cord,,,,,P02.6
end_of_pregnancy,ICD10CM,P03.1,,C0477891,"Fetus and newborn affected by other malpresentation, malposition and disproportion during labour and delivery",,,,,P03.1
end_of_pregnancy,ICD10CM,P08.1,,C0477897,"""""""""""""Other """"""""""""""""heavy for gestational age"""""""""""""""" infants""""""""""""",,,,,P08.1
end_of_pregnancy,ICD10CM,P15.8,,C0477903,Other specified birth injuries,,,,,P15.8
end_of_pregnancy,ICD10CM,P28.4,,C0477914,Other apnoea of newborn,,,,,P28.4
end_of_pregnancy,ICD10CM,P83.8,,C0477961,Other specified conditions of the integument specific to fetus and newborn,,,,,P83.8
end_of_pregnancy,ICD10CM,Z37.2,,C0481459,"Encounter due to birth of twins, both live born",,,,,Z37.2
end_of_pregnancy,ICD10CM,Z37.3,,C0481466,"Encounter due to birth of twins, one live born and one stillborn",,,,,Z37.3
end_of_pregnancy,ICD10CM,Z37.7,,C0481671,"Other multiple births, all stillborn",,,,,Z37.7
end_of_pregnancy,ICD10CM,O75.6,,C0495246,Delayed delivery after spontaneous or unspecified rupture of membranes,,,,,"O75.6,O42.1"
end_of_pregnancy,ICD10CM,O42.1,,C0495246,Delayed delivery after spontaneous or unspecified rupture of membranes,,,,,"O75.6,O42.1"
end_of_pregnancy,ICD10CM,O62.4,,C0495255,"Hypertonic, incoordinate, and prolonged uterine contractions",,,,,O62.4
end_of_pregnancy,ICD10CM,O66.5,,C0495263,Failed forceps or vacuum extractor,,,,,O66.5
end_of_pregnancy,ICD10CM,O87.0,,C0495289,Superficial thrombophlebitis in the puerperium,,,,,O87.0
end_of_pregnancy,ICD10CM,O98.3,,C0495308,Other infections with a predominantly sexual mode of transmission complicating pregnancy childbirth and the puerperium,,,,,O98.3
end_of_pregnancy,ICD10CM,O98.8,,C0495310,"Other maternal infectious and parasitic diseases complicating pregnancy, childbirth and the puerperium",,,,,O98.8
end_of_pregnancy,ICD10CM,P03.9,,C0495350,"Fetus and newborn affected by complication of labour and delivery, unspecified",,,,,P03.9
end_of_pregnancy,ICD10CM,P04.0,,C0495351,"Fetus and newborn affected by maternal anaesthesia and analgesia in pregnancy, labour and delivery",,,,,P04.0
end_of_pregnancy,ICD10CM,P74.4,,C0495447,Other transitory neonatal electrolyte disturbance,,,,,P74.4
end_of_pregnancy,ICD10CM,Z38.3,,C0496656,"Twin, unspecified, born in hospital",,,,,Z38.3
end_of_pregnancy,ICD10CM,Z39.0,,C0496662,Care and examination immediately after delivery,,,,,Z39.0
end_of_pregnancy,ICD10CM,P28.5,,C0521648,Neonatal respiratory failure,,,,,P28.5
end_of_pregnancy,ICD10CM,P76.0,,C0546982,Cystic fibrosis with meconium ileus,,,,,"E84.11,P76.0"
end_of_pregnancy,ICD10CM,E84.11,,C0546982,Cystic fibrosis with meconium ileus,,,,,"E84.11,P76.0"
end_of_pregnancy,ICD10CM,P91.6,,C0752304,Hypoxic-Ischemic Encephalopathy,,,,,P91.6
end_of_pregnancy,ICD10CM,O75,,C0868755,"Other complications of labor and delivery, not elsewhere classified in ICD9CM",,,,,O75
end_of_pregnancy,ICD10CM,O90.3,,C0877208,Peripartum cardiomyopathy,,,,,O90.3
end_of_pregnancy,ICD10CM,P29.11,,C0877308,Neonatal tachycardia,,,,,P29.11
end_of_pregnancy,ICD10CM,O48,,C0878751,Late pregnancy,,,,,O48
end_of_pregnancy,ICD10CM,P96.83,,C1112318,Meconium staining,,,,,P96.83
end_of_pregnancy,ICD10CM,P29.12,,C1112488,Neonatal bradycardia,,,,,P29.12
end_of_pregnancy,ICD10CM,P96.82,,C1260438,Delayed separation of umbilical cord,,,,,P96.82
end_of_pregnancy,ICD10CM,O70.3,,C1275806,Fourth degree perineal laceration,,,,,O70.3
end_of_pregnancy,ICD10CM,Z37.0,,C1313895,Encounter due to single live birth,,,,,Z37.0
end_of_pregnancy,ICD10CM,Z37.1,,C1313896,Encounter due to single stillbirth,,,,,Z37.1
end_of_pregnancy,ICD10CM,L40.1,,C1314968,Impetigo herpetiformis,,,,,L40.1
end_of_pregnancy,ICD10CM,P29.81,,C1410098,Neonatal cardiac arrest,,,,,P29.81
end_of_pregnancy,ICD10CM,P83.4,,C1449721,Infant Gynecomastia,,,,,P83.4
end_of_pregnancy,ICD10CM,O98.0,,C1533626,"Maternal tuberculosis during pregnancy, childbirth and the puerperium",,,,,O98.0
end_of_pregnancy,ICD10CM,P24.00,,C1561792,Meconium aspiration without respiratory symptoms,,,,,P24.00
end_of_pregnancy,ICD10CM,P24.01,,C1561793,Meconium aspiration with respiratory symptoms,,,,,P24.01
end_of_pregnancy,ICD10CM,P84,,C2316692,Neonatal hypoxemia,,,,,P84
end_of_pregnancy,ICD10CM,P77.9,,C2349662,"Necrotizing enterocolitis in newborn, unspecified",,,,,P77.9
end_of_pregnancy,ICD10CM,P77,,C2349669,Necrotizing enterocolitis of newborn,,,,,P77
end_of_pregnancy,ICD10CM,P91.61,,C2712358,Mild hypoxic ischemic encephalopathy,,,,,P91.61
end_of_pregnancy,ICD10CM,P91.62,,C2712359,Moderate hypoxic ischemic encephalopathy,,,,,P91.62
end_of_pregnancy,ICD10CM,P91.63,,C2712360,Severe hypoxic ischemic encephalopathy,,,,,P91.63
end_of_pregnancy,ICD10CM,P92.01,,C2712362,Bilious vomiting of newborn,,,,,P92.01
end_of_pregnancy,ICD10CM,P92.09,,C2712363,Other vomiting of newborn,,,,,P92.09
end_of_pregnancy,ICD10CM,O86.81,,C2712615,Postpartum septic thrombophlebitis,,,,,O86.81
end_of_pregnancy,ICD10CM,P08.22,,C2909960,Prolonged gestation of newborn,,,,,P08.22
end_of_pregnancy,ICD10CM,P77.1,,C2910076,Stage 1 necrotizing enterocolitis in newborn,,,,,P77.1
end_of_pregnancy,ICD10CM,P77.2,,C2910077,Stage 2 necrotizing enterocolitis in newborn,,,,,P77.2
end_of_pregnancy,ICD10CM,P77.3,,C2910078,Stage 3 necrotizing enterocolitis in newborn,,,,,P77.3
